ID,Solutionlist,Savedsolutions,Savedobjectives,parametername,parameterbounds,objectivebounds,objectivename,parameter_timestamp,objective_timestamp,prolific_ID,saved_timestamp,objectiveminmax,ismanual,taskdescription,chosen_solution,start_timestamp,tutorial,randomizerstatus,pass,tutorial_timestamp
585,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6664102eacea2d63cf0016d ,"""""","""""",1,"""""","""""","""""","""""",1,3,""""""
586,"""140,41,81,46,114,23,175,65,153,30,91,63,72,70,165,27,122,26,68,69,174,28,176,21,171,23,71,42,96,26,120,25,67,67,104,70""","""140,41,81,46,114,23,175,65,153,30,91,63,122,26,176,21,120,25,67,67""","""68,90,65,100,65,90,66,65,70,90,63,100,69,120,65,95,70,90,65,90""","""CARBOHYDRATE/gam,PROTEIN/gram""","""60,180,20,70""","""63,70,30,120""","""WEIGHT/Kg,DURATION /Day""","""""","""2024-09-30 10:50:30""",6664102eacea2d63cf0016d1 ,"""2024-09-30 11:00:26""","""minimize,maximize""",0,"""""","""5""","""2024-09-30 10:33:43""","""1""",2,3,"""2024-09-30 10:35:09"""
587,"""""","""""","""""","""""","""""","""""","""""","""""","""""",62e02b26e879244a99e852fa,"""""","""""",1,"""""","""""","""2024-09-30 10:36:30""","""1""",1,3,"""2024-09-30 10:44:36"""
588,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66791803d705a68960cb4976,"""""","""""",0,"""""","""""","""2024-09-30 10:41:41""","""1""",2,3,"""2024-09-30 10:50:02"""
589,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5efcf0794946481160bf4253,"""""","""""",1,"""""","""""","""2024-09-30 10:38:51""","""1""",1,3,"""2024-09-30 10:42:18"""
590,"""""","""""","""""","""""","""""","""""","""""","""""","""""",59bd955a3a9ab60001119b22,"""""","""""",0,"""""","""""","""2024-09-30 10:43:52""","""1""",2,3,"""2024-09-30 10:51:50"""
591,"""""","""""","""""","""""","""""","""""","""""","""""","""""",60ebfc77adae0f59618d6471,"""""","""""",0,"""""","""""","""2024-09-30 10:46:21""","""1""",1,0,"""2024-09-30 11:14:30"""
592,"""1600,80 ,50 ,1000,50,40,1100,60,50,1800,120,80,1500,90,60,1800,50,40,1000,120,80,1500,50,40,1500,120,80,1700,60,50,1100,110,70,1300,100,60,1600,70,60,1800,100,50""","""1600,80 ,50 ,1000,50,40,1100,60,50,1800,120,80,1500,90,60,1800,50,40,1000,120,80,1500,50,40,1500,120,80,1700,60,50,1100,110,70,1300,100,60,1600,70,60,1800,100,50""","""1600,80,50,8,1000,50,40,7,1100,60,50,8,1800,120,80,10,1500,90,60,8,1800,50,40,7,1800,120,80,10,1500,50,40,7,1500,120,80,10,1700,60,50,8,1700,110,70,9,1300,100,60,8,1600,70,60,9,1800,100,50,7""","""Daily calorie intake/kcal,Protein intake/grams,Fat intake/grams""","""1000,1800,50,120,40,80""","""1000,1800,50,120,40,80,7,10""","""Daily calorie intake/kcal,Protein intake/grams,Fat intake/grams,Nutritional satisfaction/scale (1-10)""","""""","""2024-09-30 11:02:33""",609a7d5287ca8fb83e0780d4,"""2024-09-30 11:12:12""","""minimize,maximize,minimize,maximize""",1,"""""","""10""","""2024-09-30 10:48:32""","""1""",2,3,"""2024-09-30 10:55:45"""
593,"""5,300,5,300,6,360,5,250,9,450,6,300,3,200,3,200,5,300,1,200""","""5,300,5,300,6,360,5,250,9,450,6,300,3,200,3,200,5,300,1,200""","""5,300,5,300,6,360,5,250,9,450,6,300,5,400,7,300,2,100,7,400""","""weight loss/kg,vitamin intake""","""1,10,1,500""","""1,10,1,500""","""weight loss/kg,vitamin intake""","""""","""2024-09-30 11:47:44""",66d31bb94c08af59d6705bac,"""2024-09-30 11:53:12""","""minimize,minimize""",1,"""""","""""","""2024-09-30 11:30:17""","""2""",1,3,"""2024-09-30 11:41:47"""
594,"""83,79,77,89,75,84,88,80,79,90,76,75,87""","""83,79,77,89,80,76""","""10,10,7,12,10,9""","""weight/80""","""75,90""","""7,12""","""time/10""","""""","""2024-09-30 11:03:52""",615dd36156bf443246c0b660,"""2024-09-30 11:08:01""","""minimize""",0,"""""","""""","""2024-09-30 10:51:58""","""1""",2,3,"""2024-09-30 10:57:56"""
595,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5fcfb1fe79b8060e0662270a,"""""","""""",1,"""""","""""","""2024-09-30 10:56:14""","""1""",1,3,"""2024-09-30 11:06:42"""
596,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65fb32035a77525fe4011f13,"""""","""""",0,"""""","""""","""2024-09-30 11:02:14""","""1""",2,0,"""2024-09-30 11:17:53"""
597,"""1190,104,1456,78,1276,119,1010,62,1105,108,1370,74,1499,89,1500,86,1436,68,1260,67,1477,70,1485,62,1048,87,1152,68,1252,66,1023,76,1429,67,1087,78,1489,106,1317,113,1356,104,1033,108,1115,68,1156,88,1500,70,1500,73,1489,106,1468,63,1493,61,1489,106""","""1190,104,1456,78,1276,119,1010,62,1105,108,1370,74,1499,89,1156,88,1500,70,1489,106,1468,63""","""11,9,14,10,13,10,12,13,9,13,12""","""food consumption/calories,exercise /minutes""","""1000,1500,60,120""","""9,15""","""lose weight/kg""","""""","""2024-09-30 11:47:18""",66426a28be4750708ea0e591,"""2024-09-30 11:53:14""","""minimize""",0,"""""","""1""","""2024-09-30 11:30:12""","""2""",1,3,"""2024-09-30 11:21:39"""
598,"""100,1800,200,120,2000,150,80,1700,250,150,2200,120,60,1600,300,140,2100,180,100,2500,100,90,1900,200,130,2100,150,70,1500,250,110,2000,200,140,2400,170,50,1600,300,120,2300,130""","""100,1800,200,120,2000,150,80,1700,250,150,2200,120,60,1600,300,140,2100,180,100,2500,100,90,1900,200,130,2100,150,70,1500,250,110,2000,200,140,2400,170,50,1600,300,120,2300,130""","""0.4,85,7,0.5,90,8,0.3,82,6,0.4,88,9,0.3,80,5,0.5,92,8,0.3,83,7,0.4,86,7,0.5,91,9,0.3,81,6,0.4,89,8,0.4,90,8,0.3,80,5,0.5,93,9""","""Protein Intake/grams,Caloric Intake/calories,Carbohydrate Intake/grams""","""50,150,1500,2500,100,300""","""0.3,0.5,80,100,1,10""","""Weight Loss/kg,Nutritional Balance,Satisfaction""","""""","""2024-09-30 11:27:27""",669cc480ca3a8872c5816472,"""2024-09-30 11:42:04""","""maximize,maximize,maximize""",1,"""""","""""","""2024-09-30 11:07:29""","""1""",2,3,"""2024-09-30 11:11:46"""
599,"""4,7,4,5,5,6,5,8,5,8,4,5,4,6,4,6,5,7,4,7,4,6""","""4,7,4,5,5,6,5,8,5,8,4,5,4,6,4,6,5,7,4,7,4,6""","""75,12,50,15,80,10,95,18,60,13,45,16,70,14,55,11,55,17,80,12,72,15""","""Food/pounds,Meal/kilogram""","""3,5,3,10""","""30,100,5,20""","""Calories,Fruits""","""""","""2024-09-30 11:51:13""",66c4ffc206a3b2ebed448b54,"""2024-09-30 12:22:49""","""maximize,maximize""",1,"""""","""""","""2024-09-30 11:39:44""","""2""",1,3,"""2024-09-30 11:38:50"""
600,"""""","""""","""""","""""","""""","""""","""""","""""","""""",". Which statements are NOT correct based on the tutorial of the ""Optimize"" step? Select all incorrect options. (The attached images are user's screenshots in the optimization step)  Specify objectives  ⬆️The user should copy the values for the new solution into the ""Measurements"" column.  Specify objectives  ⬆️The first objective, ""Material cost"", should only be used to evaluate the first variable, ""Material strength"", and the second objective, ""Material durability"", should only be used to evaluate the second variable, ""Material density"".","""""","""""",0,"""""","""""","""""","""""",2,3,""""""
601,"""""","""""","""""","""Daily Calorie intake/Kcal,Carbohydrate intake/g""","""1200,2500,100,300""","""0,1,5,10""","""Weight loss/kg/week,Satiety level/score 0-10""","""""","""2024-09-30 14:39:39""",65fb32035a77525fe4011f14,"""""","""minimize,minimize""",1,"""""","""""","""2024-09-30 14:21:16""","""1""",1,3,"""2024-09-30 14:25:01"""
602,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65fb11fa63f6a4a129409026,"""""","""""",0,"""""","""""","""2024-09-30 11:47:28""","""1""",2,0,"""2024-09-30 11:58:07"""
603,"""28,4,50,3,41,5,21,3,25,5,38,2,50,5,38,4,46,2,36,2,49,3,49,2,48,2,23,3,29,2,35,2,25,3,24,3,23,3""","""28,4,50,3,41,5,21,3,25,5,38,2,50,5,49,2,25,3,24,3""","""16,60,23,90,22,95,18,70,20,80,15,50,16,55,25,100,16,88,24,90""","""calories ,number of food/day""","""20,50,2,5""","""15,25,50,100""","""minimize cost,maximize health benefit ""","""""","""2024-09-30 12:49:52""",66b527ee1644bd2f37915003,"""2024-09-30 12:57:19""","""minimize,maximize""",0,"""""","""7""","""2024-09-30 12:36:17""","""2""",1,3,"""2024-09-30 12:26:33"""
604,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65fade256d70be4d6ea4ecaa,"""""","""""",1,"""""","""""","""2024-09-30 12:12:34""","""1""",2,3,"""2024-09-30 12:16:24"""
605,"""1800,3,1700,2,1899,3,1750,2,1840,3,1850,3,1740,2,1800,3,1705,3,1800,3""","""1800,3,1700,2,1899,3,1750,2,1840,3,1850,3,1740,2,1800,3,1705,3,1800,3""","""100,4,100,3,150,5,125,3,145,5,130,5,115,3,130,4,110,3,130,3""","""Calories,Meals""","""1700,1900,2,3""","""100,150,3,5""","""Cost per week/Pound,Satisfaction""","""""","""2024-09-30 12:33:13""",66644f7feb0727f0260cb37e,"""2024-09-30 12:39:56""","""minimize,minimize""",1,"""""","""""","""2024-09-30 12:19:45""","""1""",1,3,"""2024-09-30 12:26:46"""
606,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66cf34966fcadcafe9babe8e,"""""","""""",0,"""""","""""","""2024-09-30 13:15:41""","""1""",2,0,"""2024-09-30 13:19:06"""
607,"""""","""""","""""","""""","""""","""""","""""","""""","""""",奇了怪了！,"""""","""""",0,"""""","""""","""2024-09-30 13:21:36""","""1""",1,0,"""2024-09-30 13:25:49"""
608,"""1700,100,50,1600,110,30,1200,150,20,1400,60,30,2000,50,70,1500,60,50,1700,60,30,1450,59,60,1800,120,50,1900,120,50,1850,60,50,1650,95,65,1500,50,20,1832,65,50""","""1700,100,50,1600,110,30,1200,150,20,1400,60,30,2000,50,70,1500,60,50,1700,60,30,1450,59,60,1800,120,50,1900,120,50,1850,60,50,1650,95,65,1500,50,20,1832,65,50""","""1700,40,1600,50,1500,50,1500,50,2000,60,1500,60,1500,50,1500,50,1500,50,1900,50,1850,50,1650,50,1500,20,1832,50""","""Calorie Intake,Protein Intake/grams,Fat intake/grams""","""1200,2000,50,150,20,70""","""1200,2000,20,70""","""Minimize Caloric Intake,Minimize Fat Intake/g""","""""","""2024-09-30 13:28:50""",59bb884a3c45a10001ccc4f7,"""2024-09-30 13:36:32""","""minimize,minimize""",1,"""""","""""","""2024-09-30 13:21:30""","""1""",2,3,"""2024-09-30 13:23:16"""
609,"""""","""""","""""","""""","""""","""""","""""","""""","""""",newcheckmachnism,"""""","""""",0,"""""","""""","""2024-09-30 13:26:29""","""1""",1,0,"""2024-09-30 13:31:00"""
610,"""""","""""","""""","""""","""""","""""","""""","""""","""""",oooopppp99,"""""","""""",1,"""""","""""","""2024-09-30 13:33:49""","""1""",2,0,"""2024-09-30 13:35:51"""
611,"""""","""""","""""","""""","""""","""""","""""","""""","""""",is it because of tutorial,"""""","""""",1,"""""","""""","""2024-09-30 13:36:59""","""1""",1,0,"""2024-09-30 13:37:29"""
612,"""""","""""","""""","""""","""""","""""","""""","""""","""""",我不想再试了,"""""","""""",0,"""""","""""","""2024-09-30 13:40:18""","""1""",2,3,"""2024-09-30 13:57:26"""
613,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testsqllllll,"""""","""""",1,"""""","""""","""2024-09-30 15:00:30""","""1""",1,0,"""2024-09-30 15:04:15"""
614,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testsqllllll2,"""""","""""",0,"""""","""""","""2024-09-30 15:08:16""","""1""",2,0,"""2024-09-30 15:09:03"""
615,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testsqllllll1,"""""","""""",0,"""""","""""","""""","""""",1,3,""""""
616,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testsqllllll2,"""""","""""",0,"""""","""""","""2024-09-30 15:08:16""","""1""",2,0,"""2024-09-30 15:09:03"""
617,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65fb32035a77525fe4011f14,"""""","""""",1,"""""","""""","""""","""""",1,3,""""""
618,"""1318,6,2,1787,4,3,1508,5,2,1377,5,3,1493,6,3,1625,4,2,1679,7,3,1210,3,2,1200,3,2,1409,6,2,1772,4,2,1742,4,2,1712,4,2,1738,4,2,1766,4,2,1794,4,2,1799,4,2,1800,4,2,1800,4,2""","""1318,6,2,1787,4,3,1508,5,2,1377,5,3,1493,6,3,1625,4,2,1679,7,3,1210,3,2,1772,4,2,1742,4,2,1712,4,2,1738,4,2,1766,4,2,1794,4,2,1799,4,2,1800,4,2""","""2.5,6,1300,2.5,5,1300,2.5,5,1300,2.5,6,1300,2.5,6,1300,2.5,6,1300,2.5,6,1300,2.5,5,1250,2.5,5,1300,2.5,5,1300,2.5,5,1350,2.5,5,1300,2.5,5,1350,2.5,5,1350,2.5,5,1350,2.5,5,1400""","""Caloric Intake/calories,Meal Frequency/per day,Hydration/liters""","""1200,1800,3,7,2,3""","""2,3,3,7,1200,1800""","""Hydration/liters,Meal Frequency/per day,Caloric Intake/calories per day""","""""","""2024-09-30 16:22:26""",5dfb75507caa1e89ad5df828,"""2024-09-30 16:31:04""","""maximize,minimize,minimize""",0,"""""","""""","""2024-09-30 16:17:56""","""2""",2,3,"""2024-09-30 16:17:36"""
619,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66d75f4177b451b0107ddce6,"""""","""""",1,"""""","""""","""2024-09-30 16:14:00""","""1""",1,3,""""""
620,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65b7b0e4e6fa7d632205b4b6,"""""","""""",0,"""""","""""","""2024-09-30 16:14:30""","""1""",2,3,"""2024-09-30 16:16:10"""
621,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66951f4b5da663df1d9dbae5,"""""","""""",0,"""""","""""","""2024-09-30 16:15:37""","""1""",1,0,"""2024-09-30 16:20:20"""
622,"""""","""""","""""","""""","""""","""""","""""","""""","""""",62eac867210f0e2e8d322d44,"""""","""""",1,"""""","""""","""2024-09-30 16:15:07""","""1""",2,0,"""2024-09-30 16:19:48"""
623,"""1095,4,2013,3,2268,4,1590,1,1504,5,2366,2,1000,5,2307,2,1780,1,2431,2,2456,1,1143,3,1455,2,1755,1,1070,2,2288,1,1260,2,2467,4,1000,3,2467,4,1951,5,1876,5,1801,5,1726,5,1651,5""","""1095,4,2013,3,2268,4,1590,1,1504,5,2366,2,2467,4,1951,5,1876,5,1801,5,1726,5""","""500,35,300,20,250,10,400,60,400,20,250,50,200,5,250,10,300,13,320,15,350,18""","""Calories consumed daily/kcal,Meals per day/times/day""","""1000,2500,1,5""","""200,1000,0,100""","""Amount of fat lost per week/grams,Chance of relapse /percent""","""""","""2024-09-30 16:39:23""",60b7bb77c573c1a28d072811,"""2024-09-30 16:45:14""","""maximize,minimize""",0,"""""","""10""","""2024-09-30 16:26:10""","""2""",1,3,"""2024-09-30 16:23:14"""
624,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66227700b26cd7c01ca380af,"""""","""""",1,"""""","""""","""2024-09-30 16:16:07""","""1""",2,3,"""2024-09-30 16:22:01"""
625,"""155,91019,58,39751,22,54517,113,2859,137,64110,28,15967,3,65514,31,45808,174,13862,104,11815,191,16991,194,2936,28,45626,29,50575,24,49469""","""155,91019,58,39751,22,54517,113,2859,137,64110,28,15967,3,65514,194,2936,28,45626,29,50575""","""0.85,22,10,0.86,22,9,0.8,20,8,0.9,23,5,0.9,23,4,0.9,23,1,0.9,23,5,0.9,23,4,0.9,20,6,0.8,20,3""","""Height/cm,Weight/gr""","""0,200,0,100000""","""0.8,0.9,20,23,0,10""","""WHR/WHR,BMI/BMI,Eating satisfaction""","""""","""2024-09-30 16:39:43""",6615a097ee8b9c209c92f07f,"""2024-09-30 16:48:59""","""minimize,minimize,maximize""",0,"""""","""0""","""2024-09-30 16:16:14""","""1""",1,3,"""2024-09-30 16:22:32"""
626,"""10,12,8,12,14,15,10,10,15,15,12,14,8,10,6,11,13,13,7,11""","""10,12,8,12,14,15,10,10,15,15,12,14,8,10,6,11,13,13,7,11""","""300,60,250,80,350,50,250,100,400,50,350,120,250,150,300,150,350,90,300,100""","""weight loss/kg,activity hour per day/hour""","""5,15,10,16""","""150,400,50,200""","""proteins/g,fat/g""","""""","""2024-09-30 17:06:04""",5f966b181caf595331d1685e,"""2024-09-30 17:10:17""","""maximize,minimize""",1,"""""","""""","""2024-09-30 16:51:16""","""2""",2,3,"""2024-09-30 16:50:37"""
627,"""1318,6,2,1787,4,3,1508,5,2,1377,5,3,1493,6,3,1625,4,2,1679,7,3,1210,3,2,1200,3,2,1409,6,2,1772,4,2,1742,4,2,1712,4,2,1738,4,2,1766,4,2,1794,4,2,1799,4,2,1800,4,2,1800,4,2""","""1318,6,2,1787,4,3,1508,5,2,1377,5,3,1493,6,3,1625,4,2,1679,7,3,1210,3,2,1772,4,2,1742,4,2,1712,4,2,1738,4,2,1766,4,2,1794,4,2,1799,4,2,1800,4,2""","""2.5,6,1300,2.5,5,1300,2.5,5,1300,2.5,6,1300,2.5,6,1300,2.5,6,1300,2.5,6,1300,2.5,5,1250,2.5,5,1300,2.5,5,1300,2.5,5,1350,2.5,5,1300,2.5,5,1350,2.5,5,1350,2.5,5,1350,2.5,5,1400""","""Caloric Intake/calories,Meal Frequency/per day,Hydration/liters""","""1200,1800,3,7,2,3""","""2,3,3,7,1200,1800""","""Hydration/liters,Meal Frequency/per day,Caloric Intake/calories per day""","""""","""2024-09-30 16:22:26""",5dfb75507caa1e89ad5df828,"""2024-09-30 16:31:04""","""maximize,minimize,minimize""",0,"""""","""""","""2024-09-30 16:17:56""","""2""",2,3,"""2024-09-30 16:17:36"""
628,"""""","""""","""""","""""","""""","""""","""""","""""","""""",611f673baf2f705177f7a3c8,"""""","""""",0,"""""","""""","""2024-09-30 16:36:48""","""1""",1,3,""""""
629,"""10,3,14,6,20,7,30,10,25,10,15,8,10,6,30,8,15,5,30,5""","""10,3,14,6,20,7,30,10,25,10,15,8,10,6,30,8,15,5,30,5""","""400,35,300,56,800,18,400,10,600,9,700,80,100,8,600,50,300,40,600,56""","""weight loss/kg,muscle gain/kg""","""0,30,0,20""","""0,1000,0,100""","""cost,nutrients requirement""","""""","""2024-09-30 16:59:23""",66aa61fc1fd06b77e2a81284,"""2024-09-30 17:04:27""","""maximize,minimize""",1,"""""","""2""","""2024-09-30 16:44:45""","""2""",2,3,"""2024-09-30 16:34:53"""
630,"""""","""""","""""","""""","""""","""""","""""","""""","""""",611f673baf2f705177f7a3c8,"""""","""""",0,"""""","""""","""2024-09-30 16:36:48""","""1""",1,3,""""""
631,"""1200,10,1500,13,1800,15,1800,18,1900,20,2000,24,2200,28,2400,30,1500,30,1700,30""","""1200,10,1500,13,1800,15,1800,18,1900,20,2000,24,2200,28,2400,30,1500,30,1700,30""","""2,100,1.8,105,1.7,110,1.6,115,1.5,125,1.4,130,1.3,140,1.2,140,1.8,140,1.7,145""","""Caloric Intake/kcal,Proteins/%""","""1200,2500,10,35""","""1,2,100,150""","""Weight loss/kg,Nutrient Density/%""","""""","""2024-09-30 17:16:31""",5eceef5fa487421604c337ba,"""2024-09-30 17:20:57""","""minimize,maximize""",1,"""""","""9""","""2024-09-30 17:09:53""","""1""",2,3,"""2024-09-30 17:10:30"""
632,"""12,9,5,16,3,3,7,13,8,5,1,12,10,14,11,4,7,3,7,4,12,2,12,3,12,2,2,9,4,3,2,6,10,3,10,2""","""12,9,5,16,3,3,7,13,8,5,1,12,7,3,12,2,12,3,10,3""","""20,1,30,1,25,1,15,1,40,1,30,2,20,1,20,1,25,1,20,1""","""weight loss/kg,protein /grams ""","""1,12,1,20""","""1,50,1,3""","""cost /Pounds ,cut down sugar /tsp ""","""""","""2024-09-30 16:35:08""",664cc5265ac8666303efd614,"""2024-09-30 16:40:13""","""minimize,minimize""",0,"""""","""""","""2024-09-30 16:27:21""","""1""",1,3,"""2024-09-30 16:29:56"""
633,"""""","""""","""""","""""","""""","""""","""""","""""","""""",666db0c80338769b50be70d4,"""""","""""",1,"""""","""""","""2024-09-30 16:28:25""","""1""",2,0,"""2024-09-30 16:54:11"""
634,"""""","""""","""""","""""","""""","""""","""""","""""","""""",611f673baf2f705177f7a3c8,"""""","""""",0,"""""","""""","""2024-09-30 16:36:48""","""1""",1,3,""""""
635,"""""","""""","""""","""""","""""","""""","""""","""""","""""",611f673baf2f705177f7a3c8,"""""","""""",0,"""""","""""","""2024-09-30 16:36:48""","""1""",1,3,""""""
636,"""""","""""","""""","""""","""""","""""","""""","""""","""""",611f673baf2f705177f7a3c8,"""""","""""",0,"""""","""""","""2024-09-30 16:36:48""","""1""",1,3,""""""
637,"""350,8,9,150,2,1,900,10,10,1000,10,4,200,3,2,250,5,7,800,7,6,500,5,8,100,5,1,750,2,5,1000,10,10,350,7,7,250,9,6,400,7,9""","""350,8,9,150,2,1,900,10,10,1000,10,4,200,3,2,250,5,7,800,7,6,500,5,8,100,5,1,750,2,5,1000,10,10,350,7,7,250,9,6,400,7,9""","""12,25,4,5,10,1,19,60,9,8,15,1,12,35,9,10,15,5,13,35,7,17,50,8,5,10,3,15,45,10,20,30,2,8,15,2,10,20,5,15,25,2""","""Caloric value /kcal,Taste ,Filling/Substantial ""","""100,1000,1,10,1,10""","""5,20,10,60,1,10""","""Cost /$,Preparation time /Minutes ,Ingredient scarcity ""","""""","""2024-09-30 17:27:03""",66c5f80e969d8faf64c16598,"""2024-09-30 17:47:05""","""minimize,minimize,minimize""",1,"""""","""""","""2024-09-30 16:47:47""","""1""",2,3,"""2024-09-30 17:02:49"""
638,"""10,12,8,12,14,15,10,10,15,15,12,14,8,10,6,11,13,13,7,11""","""10,12,8,12,14,15,10,10,15,15,12,14,8,10,6,11,13,13,7,11""","""300,60,250,80,350,50,250,100,400,50,350,120,250,150,300,150,350,90,300,100""","""weight loss/kg,activity hour per day/hour""","""5,15,10,16""","""150,400,50,200""","""proteins/g,fat/g""","""""","""2024-09-30 17:06:04""",5f966b181caf595331d1685e,"""2024-09-30 17:10:17""","""maximize,minimize""",1,"""""","""""","""2024-09-30 16:51:16""","""2""",2,3,"""2024-09-30 16:50:37"""
639,"""120,87,100,120,80,99,120,78,99,140,70,90,140,80,110,120,70,80,130,80,110,120,80,110,120,77,88,110,80,90,120,80,100,120,80,90,120,80,90,120,80,90""","""120,87,100,120,80,99,120,78,99,140,70,90,140,80,110,120,70,80,130,80,110,120,80,110,120,77,88,110,80,90,120,80,100,120,80,90,120,80,90,120,80,90""","""77,77,77,72,77,80,77,70,75,77,70,70,80,70""","""high protein,fasting,working out/ current diet""","""110,150,70,90,80,110""","""60,80""","""work hard""","""""","""2024-09-30 17:16:31""",56875435369319000c26947d,"""2024-09-30 17:24:50""","""maximize""",1,"""""","""5""","""2024-09-30 17:01:22""","""1""",1,3,"""2024-09-30 17:15:56"""
640,"""1831,77,100,2369,42,124,2155,54,51,1676,28,125,1560,62,110,2023,26,86,2485,67,139,1963,44,65,1500,35,116,1848,64,90,2454,30,52,2484,37,68,1803,28,146,1689,54,134,1639,53,137,1589,52,140,2359,27,126,1598,50,73,2134,73,131,2084,72,134,2034,71,137,1984,70,140,1934,69,142,2498,23,80,1731,28,71""","""1831,77,100,2369,42,124,2155,54,51,1676,28,125,1560,62,110,2023,26,86,2485,67,139,1963,44,65,1689,54,134,1639,53,137,2134,73,131,2084,72,134,2034,71,137,1984,70,140""","""2227,75,65,2369,42,124,2155,54,51,1676,28,125,1560,62,110,2023,26,86,2485,67,139,1963,44,65,1689,54,134,1639,53,137,2134,73,131,2084,72,134,2034,71,137,1984,70,140""","""Daily calories intake/kcal,Fat Intake/Grams,Protein Intake/Grams""","""1500,2500,20,80,50,150""","""1500,2500,20,80,50,150""","""Calories Intake/kcal,Fat Intake/Grams ,Protein Intake/Grams""","""""","""2024-09-30 18:01:50""",647f87dfe5161fce9adc1b97,"""2024-09-30 18:47:53""","""minimize,minimize,maximize""",0,"""""","""9""","""2024-09-30 17:32:47""","""2""",2,3,"""2024-09-30 18:01:42"""
641,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5c62de3f48fe4e000180e09d,"""""","""""",1,"""""","""""","""2024-09-30 17:02:04""","""1""",1,0,"""2024-09-30 17:05:27"""
642,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5fff0b0bcbc37a5f5928ed26,"""""","""""",0,"""""","""""","""2024-09-30 17:07:08""","""1""",2,0,"""2024-09-30 17:13:02"""
643,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65bfa2967c731d263eb29732,"""""","""""",1,"""""","""""","""2024-09-30 17:02:43""","""1""",1,3,""""""
644,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5f3838bf6b6b703315fc0ad1,"""""","""""",0,"""""","""""","""2024-09-30 17:03:19""","""1""",2,3,""""""
645,"""""","""""","""""","""""","""""","""""","""""","""""","""""",561487ad7ffc8a0012812266,"""""","""""",0,"""""","""""","""""","""""",1,3,"""2024-09-30 18:11:23"""
646,"""""","""""","""""","""""","""""","""""","""""","""""","""""",646cf7e3b6213165030e2c01,"""""","""""",1,"""""","""""","""2024-09-30 17:04:54""","""1""",2,0,"""2024-09-30 17:14:03"""
647,"""""","""""","""""","""""","""""","""""","""""","""""","""""",666a0f6003e1c5bad8d0882e,"""""","""""",1,"""""","""""","""2024-09-30 17:02:02""","""1""",1,3,"""2024-09-30 17:02:48"""
648,"""17,4,11,10,9,2,14,8,14,2,6,6,18,8,18,8,19,8,20,8,20,8""","""17,4,11,10,9,2,14,8,14,2,6,6,18,8,18,8,19,8,20,8""","""20,2,22,5,20,2,20,8,22,2,19,5,19,6,19,8,19,8,19,9""","""reduce weight/KG,increase weekly fruit intake/KG""","""5,20,1,10""","""19,25,2,10""","""improve body tone/BMI,reduce illness incidences""","""""","""2024-09-30 17:22:03""",5e5521580ee1b951df544c3c,"""2024-09-30 17:30:49""","""minimize,maximize""",0,"""""","""""","""2024-09-30 17:06:43""","""1""",2,3,"""2024-09-30 17:12:24"""
649,"""""","""""","""""","""caloric intake/kcal/day,protein intake/g/d,carbs intake/g/d,fat intake/g/d,water intake/l/d,exercise/times/week""","""1500,2000,90,150,100,200,50,70,1.5,3,2,6""","""1.5,6,0.5,2,1,10,1,10,70,100,1,10,1,10""","""weight loss/kg/month,muscle growth/kg/month,nutritional balance,energy level,blood sugar/mg/dl,skin health,mental wellbeing""","""""","""2024-09-30 17:18:29""",654e379c8578beb912aee2ff,"""""","""maximize,maximize,maximize,maximize,minimize,maximize,maximize""",0,"""""","""""","""2024-09-30 17:08:06""","""2""",1,3,"""2024-09-30 17:05:25"""
650,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5c437f6a4fe4f800016e3d52,"""""","""""",1,"""""","""""","""2024-09-30 17:02:49""","""1""",2,3,"""2024-09-30 17:08:22"""
651,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65f54fc549034aba6be10bba,"""""","""""",1,"""""","""""","""2024-09-30 17:03:26""","""1""",1,0,"""2024-09-30 17:14:15"""
652,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66cdcf26e99e719c2cc2f6b6,"""""","""""",0,"""""","""""","""2024-09-30 17:03:40""","""1""",2,3,"""2024-09-30 17:08:44"""
